species,official gene symbol,cell type,nicknames
Hs,ADAD2,HB1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CRYBB2,HB1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,MTRNR2L1,HB1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,RP11-511B23.1,HB1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,PGC,HB1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,TMC4,HB1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,RP11-817J15.3,HB1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,SPINK4,HB1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,BAIAP2L2,HB1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,FAM99A,HB1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,TNNI2,HB1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,NPTX2,HB1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,HAMP,HB1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,S100A9,HB1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,SLC6A19,HB1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,OLFM2,HB1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,UCHL1,HB1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,FABP2,HB1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CITED4,HB1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,HTRA3,HB1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CDK2AP1,HB1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,MYCN,HB1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,C1orf64,HB1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,S100P,HB1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,XRRA1,HB1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,BASP1,HB1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,ALOX5AP,HB1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,RDH12,HB1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,LFNG,HB1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,F8A1,HB1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,UGT2B7,HB1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,BEX5,HB1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,PRSS2,HB1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,MROH8,HB1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,KLF2,HB1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CTU1,HB1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,FRAT2,HB1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,RP11-10A14.4,HB1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
